date,value
1/12/2015,1
1/5/2016,2
1/5/2017,1
10/11/2015,1
10/12/2015,3
10/3/2017,1
10/6/2016,1
11/12/2015,1
11/2/2016,1
12/11/2015,1
12/11/2016,1
12/12/2017,1
12/4/2016,1
14/11/2015,1
14/4/2017,1
14/7/2016,1
14/9/2017,4
15/1/2016,1
15/11/2015,1
15/12/2017,1
15/2/2016,1
15/3/2016,1
15/8/2016,1
16/1/2017,1
16/11/2015,1
16/8/2016,1
16/8/2017,1
17/12/2015,1
17/12/2016,1
17/2/2017,1
17/5/2016,2
17/8/2016,1
18/1/2016,2
18/11/2015,3
18/9/2016,1
18/9/2017,1
19/1/2016,1
19/11/2015,1
19/12/2015,1
19/5/2016,1
19/9/2017,1
2/1/2016,1
2/2/2016,2
2/5/2016,1
20/11/2015,2
20/12/2016,1
20/2/2016,1
20/3/2016,1
20/8/2016,1
20/9/2017,5
21/11/2015,1
21/12/2015,1
21/6/2017,1
22/10/2017,1
22/11/2017,1
22/9/2017,1
23/1/2016,1
23/10/2016,1
23/11/2015,2
23/12/2017,1
23/2/2016,1
23/9/2017,1
24/10/2017,1
24/12/2015,1
24/3/2016,1
24/4/2016,1
24/5/2016,1
24/5/2017,1
24/6/2016,1
24/7/2017,1
24/9/2017,1
25/10/2017,1
25/11/2015,2
25/7/2016,1
26/11/2015,1
26/3/2016,1
26/4/2016,2
26/6/2016,1
26/9/2017,1
27/2/2016,1
28/12/2016,1
29/12/2015,2
29/4/2017,1
29/8/2017,1
29/9/2017,1
3/5/2017,1
3/6/2017,1
3/9/2017,1
30/4/2016,1
31/12/2015,1
4/11/2015,2
4/12/2016,1
4/6/2016,1
5/2/2016,1
5/6/2016,1
6/11/2015,3
6/11/2017,1
6/12/2015,1
6/2/2016,1
6/6/2016,1
6/7/2016,1
7/1/2016,1
7/11/2015,2
7/12/2017,1
7/2/2016,1
7/5/2016,1
7/6/2016,1
8/11/2015,5
8/2/2016,1
8/3/2016,1
8/8/2017,1
9/11/2015,2
9/12/2015,1
9/12/2017,1
9/3/2016,1
